transaction_id,customer_id,amount,category,payment_method,transaction_date,is_weekend,discount_applied
TXN_00000001,CUST_000000,43.95,Electronics,PayPal,2023-06-12,False,0.0
TXN_00000002,CUST_000000,36.17,Clothing,PayPal,2024-10-04,False,
TXN_00000003,CUST_000001,241.67,Electronics,Debit Card,2024-04-04,False,0.0
TXN_00000004,CUST_000001,20.94,Home,Apple Pay,2024-08-12,True,0.0
TXN_00000005,CUST_000001,38.18,Electronics,PayPal,2023-12-27,True,15.0
TXN_00000006,CUST_000001,42.95,Books,PayPal,2024-11-22,True,0.0
TXN_00000007,CUST_000001,78.34,Home,Apple Pay,2024-12-25,False,0.0
TXN_00000008,CUST_000001,21.43,Home,Cash,2024-08-06,False,0.0
TXN_00000009,CUST_000001,25.67,Home,Cash,2024-03-22,False,15.0
TXN_00000010,CUST_000002,15.56,Beauty,Cash,2024-01-28,True,0.0
TXN_00000011,CUST_000002,70.43,Electronics,Debit Card,2024-09-03,False,0.0
TXN_00000012,CUST_000002,102.56,Clothing,Debit Card,2023-10-16,True,0.0
TXN_00000013,CUST_000002,160.36,Electronics,Cash,2023-02-21,True,0.0
TXN_00000014,CUST_000002,15.12,Books,Credit Card,2024-04-16,True,0.0
TXN_00000015,CUST_000002,254.89,Electronics,PayPal,2023-09-13,True,0.0
TXN_00000016,CUST_000003,54.48,Beauty,PayPal,2024-03-24,True,15.0
TXN_00000017,CUST_000003,31.53,Beauty,Credit Card,2023-03-22,True,0.0
TXN_00000018,CUST_000004,115.77,Electronics,Credit Card,2023-04-27,False,0.0
TXN_00000019,CUST_000004,9.47,Clothing,Debit Card,2023-04-04,True,0.0
TXN_00000020,CUST_000004,23.13,Books,Credit Card,2024-11-11,False,5.0
TXN_00000021,CUST_000004,44.68,Beauty,PayPal,2024-02-29,True,0.0
TXN_00000022,CUST_000004,707.22,Books,Apple Pay,2023-08-07,False,20.0
TXN_00000023,CUST_000004,21.55,Books,Credit Card,2023-03-27,True,10.0
TXN_00000024,CUST_000005,69.75,Electronics,Credit Card,2024-07-18,True,0.0
TXN_00000025,CUST_000005,108.85,Electronics,PayPal,2023-01-16,True,0.0
TXN_00000026,CUST_000005,12.8,Sports,PayPal,2024-12-10,False,0.0
TXN_00000027,CUST_000006,127.57,Home,PayPal,2023-03-29,False,20.0
TXN_00000028,CUST_000006,5.43,Sports,Apple Pay,2023-03-27,True,0.0
TXN_00000029,CUST_000006,30.99,Books,Credit Card,2023-11-07,False,10.0
TXN_00000030,CUST_000006,38.11,Clothing,Credit Card,2024-08-08,False,0.0
TXN_00000031,CUST_000007,30.24,Clothing,Apple Pay,2023-03-01,True,0.0
TXN_00000032,CUST_000007,99.4,Home,PayPal,2024-05-21,False,0.0
TXN_00000033,CUST_000007,13.46,Beauty,PayPal,2024-05-29,False,0.0
TXN_00000034,CUST_000007,19.17,Books,PayPal,2023-06-23,True,0.0
