product_id,name,category,subcategory,brand,price,rating,review_count,in_stock,stock_quantity,weight_kg,dimensions_cm,launch_date,supplier_id,warranty_months,is_featured,discount_percent
PROD_000001,iPhone Pro Pro,Electronics,Smartphones,Dell,156.23,4.4,2320,True,936,4.3,21x40x25,2021-08-03,SUP_117,12,False,15
PROD_000002,Galaxy Note Standard,Electronics,Smartphones,Dell,281.28,4.4,7330,True,84,0.86,22x44x19,2022-10-26,SUP_081,6,False,0
PROD_000003,OnePlus Device Plus,Electronics,Smartphones,HP,50.0,4.1,404,True,173,11.26,15x5x30,2022-06-12,SUP_006,24,False,0
PROD_000004,Pixel Phone Standard,Electronics,Smartphones,Samsung,203.52,4.0,6643,False,171,6.05,24x48x28,2024-04-26,SUP_111,36,False,5
PROD_000005,Pixel Phone Standard,Electronics,Smartphones,Dell,92.56,4.8,5608,True,0,11.56,44x13x28,2024-10-02,SUP_093,6,False,0
PROD_000006,OnePlus Device Max,Electronics,Smartphones,Sony,154.94,4.2,259,False,783,9.25,43x13x16,2023-11-03,SUP_112,24,False,0
PROD_000007,iPhone Pro Elite,Electronics,Smartphones,Canon,322.45,4.6,3334,True,0,19.71,24x22x29,2024-09-16,SUP_110,36,False,25
PROD_000008,Pixel Phone Standard,Electronics,Smartphones,Apple,249.74,4.9,2068,False,470,12.37,25x28x17,2024-11-14,SUP_033,36,False,0
PROD_000009,Galaxy Note Max,Electronics,Smartphones,Samsung,146.58,3.8,1918,False,256,19.35,49x48x10,2022-11-21,SUP_021,36,False,0
PROD_000010,OnePlus Device Max,Electronics,Smartphones,Dell,90.88,3.5,2222,True,493,17.18,8x45x4,2022-02-01,SUP_192,24,False,5
PROD_000011,OnePlus Device Standard,Electronics,Smartphones,Canon,174.19,4.5,244,True,353,1.6,41x27x7,2022-04-23,SUP_027,12,False,0
PROD_000012,Pixel Phone Elite,Electronics,Smartphones,HP,50.0,3.9,863,False,586,15.81,6x8x11,2023-02-10,SUP_098,36,False,25
PROD_000013,OnePlus Device Standard,Electronics,Smartphones,Bose,546.74,4.0,441,True,198,14.46,35x42x8,2021-10-31,SUP_178,6,False,0
PROD_000014,Galaxy Note Pro,Electronics,Smartphones,Bose,132.47,4.4,7079,False,510,3.37,14x45x24,2023-10-23,SUP_165,24,False,15
PROD_000015,Pixel Phone Plus,Electronics,Smartphones,Apple,727.82,4.0,542,False,835,10.88,27x20x20,2022-05-19,SUP_045,12,False,25
