post_id,user_id,content_type,text_length,hashtag_count,hashtags,likes,shares,comments,post_time,hour_of_day,day_of_week,follower_count,is_verified,engagement_rate,sentiment_score,sentiment_label
POST_000000,user_01415,video,40,0,,179,22,16,2025-08-08 11:59:02,11,Friday,4030,False,0.0538,0.828,positive
POST_000001,user_03238,text,1620,0,,2,0,0,2025-08-11 11:59:02,11,Monday,61,True,0.0328,0.929,positive
POST_000002,user_04334,image,1220,3,#photography|#travel|#fun,2163,234,108,2025-08-22 11:59:02,11,Friday,85974,True,0.0291,0.621,positive
POST_000003,user_03324,image,70,2,#fitness|#nature,7,2,0,2025-07-26 11:59:02,11,Saturday,322,False,0.028,0.715,positive
POST_000004,user_01538,text,120,1,#travel,2,0,0,2025-06-12 11:59:02,11,Thursday,270,False,0.0074,0.978,positive
POST_000005,user_01684,text,60,1,#work,0,0,0,2025-08-10 11:59:02,11,Sunday,21,False,0.0,0.825,positive
POST_000006,user_01904,video,430,1,#gaming,9,0,0,2025-06-27 11:59:02,11,Friday,344,False,0.0262,0.893,positive
POST_000007,user_04639,video,170,1,#photography,7,3,0,2025-04-28 11:59:02,11,Monday,127,False,0.0787,0.916,positive
POST_000008,user_00882,link,410,4,#travel|#fitness|#nature|#photography,0,0,0,2025-08-30 11:59:02,11,Saturday,191,False,0.0,0.855,positive
POST_000009,user_04282,text,1140,1,#music,2,0,0,2025-05-30 11:59:02,11,Friday,87,False,0.023,0.931,positive
POST_000010,user_00822,image,1160,1,#food,2,0,0,2025-05-03 11:59:02,11,Saturday,99,True,0.0202,0.821,positive
POST_000011,user_00251,image,360,0,,2,0,0,2025-06-14 11:59:02,11,Saturday,72,False,0.0278,0.881,positive
POST_000012,user_00976,text,140,0,,3,0,0,2025-08-03 11:59:02,11,Sunday,234,False,0.0128,0.676,positive
POST_000013,user_03951,image,30,0,,0,0,0,2025-06-11 11:59:02,11,Wednesday,5,False,0.0,0.551,neutral
POST_000014,user_01644,text,190,2,#fashion|#fitness,0,0,0,2025-06-26 11:59:02,11,Thursday,0,False,0.0,0.656,positive
POST_000015,user_03761,image,90,2,#news|#tech,2,0,0,2025-09-19 11:59:02,11,Friday,101,False,0.0198,0.777,positive
POST_000016,user_04525,image,1700,1,#music,41,24,2,2025-04-15 11:59:02,11,Tuesday,1693,False,0.0396,0.893,positive
POST_000017,user_03975,text,470,2,#travel|#art,5,0,0,2025-05-03 11:59:02,11,Saturday,329,False,0.0152,0.899,positive
POST_000018,user_00655,image,330,0,,1,0,0,2025-06-11 11:59:02,11,Wednesday,168,False,0.006,0.852,positive
POST_000019,user_01498,image,680,2,#travel|#gaming,3,0,0,2025-06-11 11:59:02,11,Wednesday,67,False,0.0448,0.97,positive
POST_000020,user_00845,text,150,0,,5,0,0,2025-04-14 11:59:02,11,Monday,543,False,0.0092,0.655,positive
POST_000021,user_01837,image,1320,4,#news|#work|#photography|#nature,3,0,0,2025-06-02 11:59:02,11,Monday,87,False,0.0345,0.883,positive
POST_000022,user_02854,text,290,2,#gaming|#life,1,0,0,2025-06-20 11:59:02,11,Friday,44,False,0.0227,0.793,positive
POST_000023,user_03012,link,940,5,#news|#photography|#music|#gaming|#tech,0,0,0,2025-05-24 11:59:02,11,Saturday,22,False,0.0,0.622,positive
POST_000024,user_04518,image,200,1,#work,15,5,0,2025-05-14 11:59:02,11,Wednesday,786,False,0.0254,0.962,positive
POST_000025,user_02548,text,260,0,,0,0,0,2025-09-18 11:59:02,11,Thursday,0,False,0.0,0.853,positive
POST_000026,user_02388,image,580,2,#work|#fun,2,0,0,2025-05-23 11:59:02,11,Friday,83,False,0.0241,0.87,positive
POST_000027,user_00523,image,260,2,#sports|#art,4,1,0,2025-09-03 11:59:02,11,Wednesday,286,True,0.0175,0.926,positive
POST_000028,user_00377,video,280,4,#life|#travel|#art|#photography,3,0,0,2025-05-31 11:59:02,11,Saturday,91,False,0.033,0.956,positive
POST_000029,user_02614,image,180,2,#food|#gaming,0,0,0,2025-07-10 11:59:02,11,Thursday,7,False,0.0,0.72,positive
POST_000030,user_01321,image,1440,0,,2,0,0,2025-04-26 11:59:02,11,Saturday,15,False,0.1333,0.748,positive
POST_000031,user_01156,text,800,3,#work|#fashion|#life,2,0,0,2025-04-16 11:59:02,11,Wednesday,301,False,0.0066,0.666,positive
POST_000032,user_02779,image,390,4,#art|#fitness|#gaming|#work,2,0,0,2025-06-24 11:59:02,11,Tuesday,72,False,0.0278,0.69,positive
POST_000033,user_02392,text,2310,2,#tech|#fitness,0,0,0,2025-05-25 11:59:02,11,Sunday,27,False,0.0,0.354,negative
POST_000034,user_02959,text,60,0,,0,0,0,2025-07-26 11:59:02,11,Saturday,43,False,0.0,0.647,positive
POST_000035,user_04764,image,100,2,#photography|#gaming,6,1,0,2025-05-02 11:59:02,11,Friday,183,False,0.0383,0.852,positive
POST_000036,user_02930,text,20,3,#music|#sports|#photography,0,0,0,2025-07-27 11:59:02,11,Sunday,106,False,0.0,0.814,positive
POST_000037,user_02571,image,140,3,#fun|#tech|#work,1,0,0,2025-08-11 11:59:02,11,Monday,56,False,0.0179,0.77,positive
POST_000038,user_00006,text,800,1,#sports,0,0,0,2025-07-03 11:59:02,11,Thursday,157,False,0.0,0.849,positive
POST_000039,user_04803,text,470,4,#gaming|#music|#travel|#photography,1,0,0,2025-08-01 11:59:02,11,Friday,35,False,0.0286,0.545,neutral
POST_000040,user_02817,image,60,4,#sports|#work|#nature|#news,2,0,0,2025-04-15 11:59:02,11,Tuesday,143,False,0.014,0.905,positive
POST_000041,user_02073,image,710,1,#news,10,0,0,2025-05-11 11:59:02,11,Sunday,297,False,0.0337,0.885,positive
POST_000042,user_03610,text,1570,2,#art|#life,0,0,0,2025-07-13 11:59:02,11,Sunday,4,False,0.0,0.888,positive
POST_000043,user_03459,text,900,1,#gaming,1,0,0,2025-07-13 11:59:02,11,Sunday,278,False,0.0036,0.851,positive
POST_000044,user_03875,image,250,2,#news|#fitness,0,0,0,2025-06-11 11:59:02,11,Wednesday,36,False,0.0,0.704,positive
POST_000045,user_03299,image,1350,1,#sports,4,0,0,2025-06-03 11:59:02,11,Tuesday,347,False,0.0115,0.766,positive
POST_000046,user_02987,video,170,1,#music,0,0,0,2025-04-06 11:59:02,11,Sunday,0,False,0.0,0.904,positive
POST_000047,user_03359,video,520,0,,3,0,0,2025-07-27 11:59:02,11,Sunday,69,True,0.0435,0.931,positive
POST_000048,user_00279,link,70,1,#food,1,0,0,2025-04-24 11:59:02,11,Thursday,37,False,0.027,0.602,positive
POST_000049,user_03447,image,1160,0,,6,0,1,2025-08-01 11:59:02,11,Friday,102,False,0.0686,0.89,positive
POST_000050,user_04712,video,660,2,#life|#fun,224,29,12,2025-08-17 11:59:02,11,Sunday,6255,False,0.0424,0.836,positive
POST_000051,user_01569,text,40,2,#travel|#fitness,1,0,0,2025-05-17 11:59:02,11,Saturday,532,False,0.0019,0.753,positive
POST_000052,user_03332,image,240,1,#news,7,1,0,2025-05-21 11:59:02,11,Wednesday,481,False,0.0166,0.918,positive
POST_000053,user_04952,video,760,0,,14,4,0,2025-04-19 11:59:02,11,Saturday,349,False,0.0516,0.85,positive
POST_000054,user_03487,text,280,3,#news|#sports|#nature,0,0,0,2025-05-09 11:59:02,11,Friday,4,False,0.0,0.848,positive
POST_000055,user_00781,link,510,2,#work|#art,0,0,0,2025-05-22 11:59:02,11,Thursday,11,False,0.0,0.588,neutral
POST_000056,user_01198,link,470,4,#news|#fun|#photography|#sports,0,0,0,2025-07-12 11:59:02,11,Saturday,9,False,0.0,0.639,positive
POST_000057,user_01280,image,160,1,#work,4,1,0,2025-05-14 11:59:02,11,Wednesday,174,False,0.0287,0.621,positive
POST_000058,user_01219,video,20,0,,9,0,0,2025-06-27 11:59:02,11,Friday,153,False,0.0588,0.715,positive
POST_000059,user_03679,text,2130,2,#gaming|#news,1,0,0,2025-04-15 11:59:02,11,Tuesday,39,False,0.0256,0.938,positive
POST_000060,user_00020,link,210,1,#art,3,0,0,2025-08-25 11:59:02,11,Monday,203,False,0.0148,0.571,neutral
POST_000061,user_00734,text,1670,2,#food|#photography,0,0,0,2025-04-10 11:59:02,11,Thursday,14,False,0.0,0.55,neutral
POST_000062,user_03309,text,410,1,#fitness,0,0,0,2025-08-01 11:59:02,11,Friday,36,False,0.0,0.952,positive
POST_000063,user_02661,image,990,1,#travel,3,0,0,2025-09-25 11:59:02,11,Thursday,84,False,0.0357,0.9,positive
POST_000064,user_02034,image,440,1,#fun,0,0,0,2025-05-04 11:59:02,11,Sunday,8,True,0.0,0.581,neutral
POST_000065,user_04542,image,130,2,#travel|#art,2,0,0,2025-06-25 11:59:02,11,Wednesday,341,False,0.0059,0.595,neutral
POST_000066,user_03204,image,210,1,#news,0,0,0,2025-05-11 11:59:02,11,Sunday,12,False,0.0,0.752,positive
POST_000067,user_02606,image,240,0,,0,0,0,2025-09-25 11:59:02,11,Thursday,33,False,0.0,0.865,positive
POST_000068,user_00773,image,820,1,#photography,0,0,0,2025-04-15 11:59:02,11,Tuesday,33,True,0.0,0.632,positive
POST_000069,user_01302,image,700,2,#fitness|#music,5,2,0,2025-08-01 11:59:02,11,Friday,187,False,0.0374,0.862,positive
POST_000070,user_00691,text,720,0,,25,0,2,2025-04-09 11:59:02,11,Wednesday,2962,False,0.0091,0.66,positive
POST_000071,user_01953,link,470,2,#music|#sports,3,0,0,2025-05-02 11:59:02,11,Friday,405,False,0.0074,0.867,positive
POST_000072,user_00277,text,190,0,,0,0,0,2025-04-03 11:59:02,11,Thursday,8,False,0.0,0.694,positive
POST_000073,user_02657,text,330,1,#life,20,4,0,2025-05-13 11:59:02,11,Tuesday,1526,False,0.0157,0.988,positive
POST_000074,user_00886,link,290,0,,0,0,0,2025-06-27 11:59:02,11,Friday,7,False,0.0,0.693,positive
POST_000075,user_03692,text,340,3,#art|#photography|#fitness,0,0,0,2025-07-23 11:59:02,11,Wednesday,37,False,0.0,0.948,positive
POST_000076,user_04297,text,410,1,#gaming,2,0,0,2025-08-29 11:59:02,11,Friday,82,False,0.0244,0.679,positive
POST_000077,user_01378,video,1620,1,#work,2,0,0,2025-07-27 11:59:02,11,Sunday,79,False,0.0253,0.897,positive
POST_000078,user_02054,video,390,2,#fitness|#news,40,5,2,2025-04-04 11:59:02,11,Friday,873,False,0.0538,0.654,positive
