user_id,username,follower_count,following_count,account_created,verified
user_00000,user_0_great,23,252,2022-01-17,False
user_00001,user_1_best,184,162,2021-11-20,False
user_00002,user_2_best,1261,73,2020-02-29,False
user_00003,user_3_awesome,276,269,2021-03-27,False
user_00004,user_4_awesome,73,118,2020-11-18,False
user_00005,user_5_cool,45,25,2021-09-19,False
user_00006,user_6_fun,157,232,2021-05-26,False
user_00007,user_7_great,427,217,2022-10-07,False
user_00008,user_8_best,292,87,2023-12-06,False
user_00009,user_9_best,1094,264,2022-10-13,False
user_00010,user_10_great,263,175,2021-08-18,False
user_00011,user_11_best,483,283,2021-06-13,False
user_00012,user_12_fun,160,-22,2021-10-24,False
user_00013,user_13_fun,73,205,2023-03-19,False
user_00014,user_14_cool,646,256,2021-12-11,False
user_00015,user_15_cool,130,46,2023-02-18,False
user_00016,user_16_cool,114,223,2021-03-06,False
user_00017,user_17_awesome,37,130,2021-10-05,False
user_00018,user_18_best,18,369,2022-04-21,False
user_00019,user_19_cool,559,132,2022-01-10,False
user_00020,user_20_awesome,203,214,2020-09-04,False
user_00021,user_21_awesome,157,32,2021-02-17,False
user_00022,user_22_awesome,5,135,2023-06-10,False
user_00023,user_23_best,624,262,2023-02-16,False
user_00024,user_24_cool,80,341,2023-10-22,False
user_00025,user_25_cool,423,362,2022-06-04,False
user_00026,user_26_best,9181,243,2022-01-01,False
user_00027,user_27_fun,94,113,2021-06-10,False
user_00028,user_28_awesome,132,101,2023-02-13,False
user_00029,user_29_fun,254,176,2023-01-07,False
user_00030,user_30_cool,91,163,2021-12-05,False
user_00031,user_31_great,93,234,2023-07-29,False
user_00032,user_32_great,654,150,2020-04-14,False
user_00033,user_33_best,38,288,2022-03-02,False
user_00034,user_34_best,41,362,2021-11-12,False
user_00035,user_35_great,15,270,2021-02-21,False
user_00036,user_36_awesome,189,45,2023-11-30,False
user_00037,user_37_awesome,3,365,2020-11-24,False
user_00038,user_38_great,11,156,2022-10-11,True
user_00039,user_39_fun,100,294,2021-02-15,True
user_00040,user_40_fun,6,187,2023-05-11,False
user_00041,user_41_cool,21,46,2022-09-08,False
user_00042,user_42_cool,409,85,2021-04-21,False
user_00043,user_43_best,31,184,2023-06-06,False
user_00044,user_44_great,354,152,2023-04-08,False
user_00045,user_45_fun,648,198,2021-07-19,False
user_00046,user_46_cool,80,146,2023-02-07,False
user_00047,user_47_awesome,332,264,2020-05-18,False
user_00048,user_48_fun,366,312,2020-06-28,False
user_00049,user_49_awesome,23,118,2023-02-14,False
user_00050,user_50_best,458,277,2022-03-27,True
user_00051,user_51_great,117,211,2021-03-24,False
user_00052,user_52_cool,0,221,2020-12-19,False
user_00053,user_53_awesome,172,448,2021-03-18,False
user_00054,user_54_awesome,0,186,2022-12-07,False
user_00055,user_55_fun,140,289,2022-05-30,False
user_00056,user_56_awesome,62,70,2021-12-19,False
user_00057,user_57_best,111,127,2022-08-23,False
user_00058,user_58_fun,234,334,2021-03-20,False
user_00059,user_59_awesome,581,125,2023-07-13,False
user_00060,user_60_cool,16,210,2020-05-29,False
user_00061,user_61_best,25,116,2022-09-13,False
user_00062,user_62_fun,72,173,2022-10-07,False
user_00063,user_63_cool,29,108,2021-12-21,False
user_00064,user_64_great,4,224,2023-08-12,False
user_00065,user_65_fun,217,163,2021-01-08,False
user_00066,user_66_fun,56,100,2021-02-28,False
user_00067,user_67_fun,18,306,2020-02-05,False
user_00068,user_68_awesome,40,92,2021-03-19,False
user_00069,user_69_fun,1037,45,2020-09-12,False
user_00070,user_70_great,948,114,2020-10-07,False
user_00071,user_71_cool,311,175,2021-07-12,False
user_00072,user_72_cool,333,210,2022-02-28,False
user_00073,user_73_cool,8486,130,2020-04-06,False
user_00074,user_74_awesome,20,259,2021-07-19,False
user_00075,user_75_cool,302,178,2021-10-03,False
user_00076,user_76_cool,136,140,2021-11-07,False
user_00077,user_77_great,61,386,2022-11-02,False
user_00078,user_78_awesome,133,230,2020-04-05,False
user_00079,user_79_best,257,281,2023-08-07,False
user_00080,user_80_cool,29,389,2022-11-17,False
user_00081,user_81_great,131,118,2022-02-24,False
user_00082,user_82_fun,24,254,2020-05-12,False
user_00083,user_83_fun,113,317,2022-06-28,False
user_00084,user_84_awesome,62,156,2021-04-22,False
user_00085,user_85_great,1,199,2021-06-23,False
user_00086,user_86_best,1621,354,2021-09-02,False
user_00087,user_87_awesome,40,165,2022-12-09,False
user_00088,user_88_fun,30,164,2020-11-14,False
user_00089,user_89_fun,1759,259,2020-03-25,False
user_00090,user_90_great,963,145,2023-08-07,False
user_00091,user_91_great,219,168,2022-08-18,False
user_00092,user_92_awesome,20,380,2020-11-27,False
user_00093,user_93_fun,79,408,2021-04-02,False
user_00094,user_94_cool,75,194,2021-12-12,False
user_00095,user_95_best,129,316,2020-09-15,False
user_00096,user_96_best,24,201,2020-02-20,False
user_00097,user_97_cool,262,431,2021-01-19,False
user_00098,user_98_great,1237,35,2020-11-25,False
user_00099,user_99_fun,148,270,2020-05-20,False
user_00100,user_100_best,91,165,2020-03-09,False
user_00101,user_101_best,33,250,2022-03-24,False
user_00102,user_102_cool,81,166,2020-02-20,False
user_00103,user_103_great,39,357,2022-12-17,False
user_00104,user_104_cool,1,188,2021-10-29,False
user_00105,user_105_cool,826,101,2022-06-17,False
user_00106,user_106_great,321,222,2020-06-29,False
user_00107,user_107_great,729,106,2021-06-25,False
user_00108,user_108_great,66,240,2022-06-28,False
user_00109,user_109_best,6,178,2023-04-25,False
